level4,level3,level2
0020,0020,002
0029,0029,002
0030,0030,003
0031,0031,003
00324,0032,003
00329,0032,003
0038,0038,003
0039,0039,003
0040,0040,004
0041,0041,004
0043,0043,004
0048,0048,004
0049,0049,004
0050,0050,005
00581,0058,005
00589,0058,005
0059,0059,005
0062,0062,006
0068,0068,006
0069,0069,006
0071,0071,007
0074,0074,007
0078,0078,007
00800,0080,008
00804,0080,008
00809,0080,008
0083,0083,008
00841,0084,008
00843,0084,008
00844,0084,008
00845,0084,008
00846,0084,008
00847,0084,008
00849,0084,008
0085,0085,008
00861,0086,008
00862,0086,008
00863,0086,008
00867,0086,008
00869,0086,008
0088,0088,008
0090,0090,009
0091,0091,009
0092,0092,009
0093,0093,009
01005,0100,010
01083,0108,010
01120,0112,011
01123,0112,011
01124,0112,011
01126,0112,011
01140,0114,011
01160,0116,011
01163,0116,011
01164,0116,011
01180,0118,011
01186,0118,011
01190,0119,011
01191,0119,011
01192,0119,011
01193,0119,011
01194,0119,011
01195,0119,011
01196,0119,011
01200,0120,012
01202,0120,012
01203,0120,012
01204,0120,012
01205,0120,012
01206,0120,012
01215,0121,012
01300,0130,013
01304,0130,013
01320,0132,013
01325,0132,013
01326,0132,013
01330,0133,013
01354,0135,013
01400,0140,014
01402,0140,014
01405,0140,014
01480,0148,014
01485,0148,014
01500,0150,015
01501,0150,015
01502,0150,015
01504,0150,015
01505,0150,015
01522,0152,015
01600,0160,016
01690,0169,016
01720,0172,017
01722,0172,017
01724,0172,017
01730,0173,017
01792,0179,017
01796,0179,017
01803,0180,018
01804,0180,018
01880,0188,018
01890,0189,018
01893,0189,018
01894,0189,018
01895,0189,018
01896,0189,018
0218,0218,021
0239,0239,023
025,025,025
0270,0270,027
0272,0272,027
0279,0279,027
0309,0309,030
0310,0310,031
0311,0311,031
0312,0312,031
0318,0318,031
0319,0319,031
03284,0328,032
03285,0328,032
03289,0328,032
0329,0329,032
0339,0339,033
0340,0340,034
035,035,035
0360,0360,036
0361,0361,036
0362,0362,036
0380,0380,038
03810,0381,038
03811,0381,038
03812,0381,038
03819,0381,038
0382,0382,038
0383,0383,038
03840,0384,038
03841,0384,038
03842,0384,038
03843,0384,038
03844,0384,038
03849,0384,038
0388,0388,038
0389,0389,038
0390,0390,039
0391,0391,039
0392,0392,039
0393,0393,039
0398,0398,039
0400,0400,040
04082,0408,040
04089,0408,040
04100,0410,041
04101,0410,041
04102,0410,041
04103,0410,041
04104,0410,041
04105,0410,041
04109,0410,041
04110,0411,041
04111,0411,041
04112,0411,041
04119,0411,041
0412,0412,041
0413,0413,041
0414,0414,041
04149,0414,041
0415,0415,041
0416,0416,041
0417,0417,041
04181,0418,041
04182,0418,041
04183,0418,041
04184,0418,041
04185,0418,041
04186,0418,041
04189,0418,041
0419,0419,041
042,042,042
04590,0459,045
04619,0461,046
0463,0463,046
04671,0467,046
